gene	logFC	P.Value
Cul5	0.376943894	3.69E-09
Vdac2	1.41433388	3.69E-09
Gucy2c	-0.446477453	3.70E-09
LOC100911946	-0.450541427	3.74E-09
Prmt2	-2.476969443	3.75E-09
Hes5	-0.453732037	3.75E-09
Pax8	-0.496167619	3.76E-09
LOC100911950	-0.496665756	3.76E-09
RGD1563441	0.540841395	3.77E-09
Itpk1	2.525816718	3.78E-09
RGD1307554	-0.45542356	3.78E-09
Wdfy4	-0.462533195	3.79E-09
Cdc42bpa	-0.452021985	3.80E-09
Prrx1	-0.43426755	3.80E-09
Haao	-0.476076781	3.80E-09
Dctd	-0.454501862	3.80E-09
Rsph9	-0.507748934	3.81E-09
Rpusd1	-0.823611237	3.83E-09
Mxd1	-0.452330438	3.84E-09
Gprc5a	-0.475423175	3.84E-09
Apba1	-0.788264336	3.84E-09
Tbc1d2	1.344847963	3.86E-09
Nos1ap	-0.452642953	3.86E-09
Slc2a1	-1.053259732	3.87E-09
Tbxa2r	-0.460675334	3.88E-09
Lrfn3	-0.459779719	3.88E-09
Pcdh19	-0.663277456	3.89E-09
Nol6	-1.436316592	3.89E-09
LOC691658	-0.460365442	3.90E-09
Lyl1	-1.187401162	3.91E-09
Papolg	0.840756597	3.94E-09
Ip6k2	-1.185141338	3.95E-09
Sdhd	1.588461506	3.98E-09
Il1rap	0.575996615	4.00E-09
Zfp37	0.647356813	4.01E-09
Rps6ka6	0.397291801	4.02E-09
Cldn3	-0.497184094	4.02E-09
Ppp2r2b	-0.510762747	4.03E-09
Snx19	0.963062524	4.05E-09
Lrrc4b	-0.511185213	4.05E-09
Mcm3	-0.472887883	4.05E-09
Ddx25	-0.950784645	4.05E-09
Tmem63b	1.949800502	4.09E-09
Fkbp11	-2.766631702	4.09E-09
Tp53rk	0.827742258	4.10E-09
Rest	0.422895529	4.11E-09
Syt15	-0.950260042	4.11E-09
Ptk2b	-0.4324459	4.12E-09
Grin2c	-0.828392649	4.12E-09
Ccdc12	0.996897926	4.15E-09
Leprotl1	-1.082742483	4.15E-09
Prodh1	2.183189122	4.17E-09
Vstm2a	0.45796126	4.17E-09
Mcub	-0.431995435	4.18E-09
Mthfr	-0.912010208	4.18E-09
Sval1	0.384227246	4.19E-09
Slc6a14	0.383865193	4.21E-09
Pdha2	0.383478079	4.25E-09
Serpina11	-0.431379805	4.26E-09
Kidins220	-0.856630945	4.27E-09
Selenop	-2.305482074	4.28E-09
Glis1	-0.430807739	4.28E-09
Rp1	0.421708666	4.29E-09
Ptpra	-1.432891967	4.31E-09
LOC102555810	0.462861259	4.32E-09
Glyatl2	0.416192762	4.33E-09
Kcnh2	0.782086187	4.34E-09
Scrg1	0.554957478	4.35E-09
LOC498368	0.664020342	4.35E-09
Arhgdig	-1.161783724	4.37E-09
Rnd2	-1.946728234	4.43E-09
Pla2g6	2.103095285	4.43E-09
Csf2	0.517923595	4.43E-09
Cdca7	-0.430179557	4.44E-09
Npy4r	-0.42987954	4.45E-09
Apcdd1	-4.023832012	4.46E-09
Tmbim7	0.395324867	4.46E-09
Rnf125	1.697639869	4.48E-09
Galnt5	0.479070894	4.48E-09
Dnajb5	-0.904285381	4.50E-09
Tmem259	1.204848342	4.50E-09
Rmnd1	3.337755806	4.53E-09
Mad1l1	-1.029368111	4.55E-09
Ybx2	1.739044765	4.57E-09
Smad6	-1.018310625	4.57E-09
Mtmr11	-1.056578011	4.60E-09
Rbm24	-0.428955271	4.60E-09
Mrps9	2.716777245	4.61E-09
Lrrc19	0.411009469	4.61E-09
Kcnab2	-0.835760411	4.61E-09
Lrfn1	-0.833392896	4.64E-09
Lrch1	0.468372205	4.65E-09
Cd4	-0.895047642	4.66E-09
Dsg1	0.472303135	4.71E-09
Pole2	0.808106992	4.71E-09
Peli3	-0.427711914	4.72E-09
Pik3ap1	-0.957258371	4.74E-09
Heyl	-0.427394209	4.75E-09
Pheta2	-0.42802747	4.76E-09
LOC102549483	0.373673309	4.78E-09
Sycp1	0.374781228	4.82E-09
Stx3	-0.899539565	4.83E-09
Jakmip2	0.382433421	4.84E-09
LOC102550747	0.374267932	4.84E-09
Eif5a2	-0.905118516	4.85E-09
Elmod1	0.377503818	4.90E-09
LOC100365921	-0.977829418	4.92E-09
Agap2	0.846341326	4.92E-09
Tbc1d22b	-0.898104766	4.94E-09
Prr12	-0.887957355	4.95E-09
Snrpa	-1.242903856	4.96E-09
LOC102550606	1.010521669	4.96E-09
Prb3	0.375596626	4.99E-09
Arhgap20	-0.426469659	5.02E-09
Prl7a4	0.405426659	5.03E-09
Iffo1	-1.35199625	5.04E-09
RGD1564664	-1.150463241	5.09E-09
Adamtsl5	-0.938921774	5.09E-09
Kcnn1	1.15474269	5.10E-09
Pi4k2a	1.203689147	5.10E-09
Dok7	-0.935594567	5.11E-09
Nckap1l	-1.340931434	5.13E-09
